,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
employee_id,0.19374450929426137,-0.5459513827877679,-0.35026429282778593,-0.10745757060120373,-0.21803245367737048,0.4999916259127206,-0.12345575723205104,0.3061253173124045,0.35168755694224985
age,-0.556777786633609,0.023055891366628667,-0.19119091724520865,0.026408982596526638,0.24009673818336477,-0.03275861474111508,0.407305462866262,0.6504093181489718,-0.06757166006590493
experience_years,0.15344441518931862,0.0281996317449123,0.6291924280519872,-0.39907467903948185,-0.055169835212622476,0.0478667952980627,0.4660039841542486,0.10733064401175144,0.43185803228275577
hours_worked_per_week,-0.3904026095314693,0.2096436354222909,-0.2443350527608383,-0.44407103417465116,-0.13956911902250027,0.48667197909418686,0.2247968209767467,-0.4732642307786568,-0.12607477987854726
burnout_score,0.16358969211437585,0.6158289079736031,-0.38044999261448775,0.2145439663893407,0.13008374232525666,0.031334159953668256,0.04856945069117642,-0.014921345798252772,0.6186571026386983
sleep_hours_per_day,0.12746190126508405,-0.4150432491258207,-0.23657622579299048,-0.14695918332061553,0.701311574996021,-0.19956231524801157,0.25108440175609514,-0.3535282297114402,0.11932570556919539
work_life_balance_rating,-0.1790536684926475,-0.2774416905821288,0.029144133070919297,0.6411346527769233,-0.35108451370557353,-0.018905355523359264,0.48166413687986503,-0.31847451304838204,0.1483872103432132
remote_setup_satisfaction,0.5801470191105564,0.16779470853261919,-0.04189123668758689,0.18796251211963427,0.13202265771972393,0.39197857368154726,0.41387266539718254,0.13183310015063157,-0.4883050854711173
team_communication_effectiveness,-0.2546826883088157,-0.004974130707616209,0.42645452877499085,0.3424705670349675,0.4720615771263612,0.5612333203844938,-0.28718342516904377,-0.06119862879845478,0.10916898613654
